시도명,관광지출액,전년도 관광지출액
서울특별시,49443425101 ,46939091279 
부산광역시,10204706422 ,9851564567 
대구광역시,6273936818 ,6011813646 
인천광역시,8795394779 ,7877991133 
광주광역시,3349184704 ,3346451702 
대전광역시,5107881715 ,4708219786 
울산광역시,2398969118 ,2390998335 
경기도,41895675913 ,41651804707 
충청북도,5825745783 ,5825753061 
충청남도,5705951044 ,5718905250 
전라남도,3755104238 ,3771639656 
경상북도,5764240702 ,5834202791 
경상남도,6055535771 ,6176007908 
제주특별자치도,3291322503 ,3705752736 
강원특별자치도,5397215239 ,5515827944 
전북특별자치도,3473144503 ,3463434677 
세종특별자치시,511298767 ,507250076 
온라인 소비액,14393919873 ,
