시도명,시군구명,평균 체류시간,평균 숙박일수
서울특별시,종로구,372,2.59
서울특별시,중구,296,2.57
서울특별시,용산구,449,2.68
서울특별시,성동구,834,2.88
서울특별시,광진구,844,2.82
서울특별시,동대문구,1110,2.96
서울특별시,중랑구,1276,2.88
서울특별시,성북구,1314,2.98
서울특별시,강북구,1209,2.78
서울특별시,도봉구,1105,2.92
서울특별시,노원구,1031,2.97
서울특별시,은평구,1547,2.93
서울특별시,서대문구,843,2.85
서울특별시,마포구,612,2.6
서울특별시,양천구,1248,3.07
서울특별시,강서구,963,2.87
서울특별시,구로구,909,2.94
서울특별시,금천구,1161,2.92
서울특별시,영등포구,662,2.76
서울특별시,동작구,1056,3.04
서울특별시,관악구,1391,2.88
서울특별시,서초구,456,2.85
서울특별시,강남구,573,2.79
서울특별시,송파구,842,2.87
서울특별시,강동구,1384,3.03
부산광역시,중구,358,2.52
부산광역시,서구,895,2.89
부산광역시,동구,463,2.62
부산광역시,영도구,867,2.78
부산광역시,부산진구,844,2.72
부산광역시,동래구,950,2.87
부산광역시,남구,1266,2.94
부산광역시,북구,1243,2.92
부산광역시,해운대구,987,2.64
부산광역시,사하구,1523,2.98
부산광역시,금정구,1146,3.03
부산광역시,강서구,623,2.75
부산광역시,연제구,932,2.87
부산광역시,수영구,796,2.61
부산광역시,사상구,992,2.83
부산광역시,기장군,662,2.58
대구광역시,중구,394,2.58
대구광역시,동구,821,2.74
대구광역시,서구,954,2.82
대구광역시,남구,915,2.9
대구광역시,북구,1208,2.91
대구광역시,수성구,1111,2.87
대구광역시,달서구,1335,2.93
대구광역시,달성군,1140,2.9
대구광역시,군위군,610,2.46
인천광역시,중구,529,2.4
인천광역시,동구,728,2.87
인천광역시,미추홀구,1247,2.89
인천광역시,연수구,1352,2.96
인천광역시,남동구,1180,2.85
인천광역시,부평구,1223,2.85
인천광역시,계양구,1102,2.87
인천광역시,서구,1595,2.98
인천광역시,강화군,1149,2.35
인천광역시,옹진군,1614,2.38
광주광역시,동구,789,2.88
광주광역시,서구,934,2.76
광주광역시,남구,1488,3.02
광주광역시,북구,1426,2.96
광주광역시,광산구,1423,2.9
대전광역시,동구,977,2.78
대전광역시,중구,888,2.76
대전광역시,서구,1254,2.81
대전광역시,유성구,1279,2.82
대전광역시,대덕구,1054,2.73
울산광역시,중구,1072,2.98
울산광역시,남구,1078,2.83
울산광역시,동구,1750,2.96
울산광역시,북구,1157,2.89
울산광역시,울주군,1036,2.78
세종특별자치시,,2202,2.96
경기도,수원시 장안구,935,2.91
경기도,수원시 권선구,1166,2.87
경기도,수원시 팔달구,686,2.61
경기도,수원시 영통구,963,2.97
경기도,성남시 수정구,972,2.92
경기도,성남시 중원구,1181,2.77
경기도,성남시 분당구,904,3
경기도,의정부시,1399,2.91
경기도,안양시 만안구,980,2.83
경기도,안양시 동안구,1040,2.92
경기도,부천시,1340,2.95
경기도,광명시,799,2.89
경기도,평택시,2262,2.98
경기도,동두천시,1371,2.8
경기도,안산시 상록구,1573,2.92
경기도,안산시 단원구,1140,2.64
경기도,고양시 덕양구,1007,2.94
경기도,고양시 일산동구,871,2.9
경기도,고양시 일산서구,894,2.91
경기도,과천시,623,3.07
경기도,구리시,681,2.86
경기도,남양주시,1292,2.88
경기도,오산시,1357,2.93
경기도,시흥시,1314,2.87
경기도,군포시,1202,2.94
경기도,의왕시,667,2.86
