기준연월,방문자수,전년동기 방문자수,방문자수 증감률,관광지출액,전년동기 관광지출액,관광지출액 증감률
202301,23822.0,21720.0,9.7,13191.0,12136.0,8.7
202302,21561.0,18310.0,17.8,12306.0,9716.0,26.6
202303,26148.0,21846.0,19.7,13808.0,11806.0,17.0
202304,22684.0,22501.0,0.8,13814.0,13600.0,1.6
202305,24824.0,24104.0,3.0,14478.0,15137.0,-4.4
202306,23275.0,22796.0,2.1,13628.0,13887.0,-1.9
202307,24847.0,27099.0,-8.3,14095.0,14714.0,-4.2
202308,25609.0,25178.0,1.7,14258.0,14208.0,0.4
202309,26468.0,25626.0,3.3,14606.0,13872.0,5.3
202310,25950.0,25738.0,0.8,14751.0,15664.0,-5.8
202311,22690.0,22824.0,-0.6,13650.0,13995.0,-2.5
202312,23626.0,22060.0,7.1,14657.0,14557.0,0.7
